SCRIPT	# 絶対書く

NUM_MODEL = 157	# 最大パーツ数

#========================================
# モデルファイル名
#========================================
MODEL_FILENAME = data\MODEL\MAP\house.x
MODEL_FILENAME = data\MODEL\MAP\bench.x
MODEL_FILENAME = data\MODEL\MAP\fire.x
MODEL_FILENAME = data\MODEL\MAP\warp.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\fence.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
MODEL_FILENAME = data\MODEL\MAP\tree.x
